name,category,rating,address,type
Taman Budaya Yogyakarta,pusat kebudayaan,4.6,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",wisata
Vredeburg Fort Museum,museums,4.7,"Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",wisata
Situs Pesanggrahan Rejawinangun,attractions,4.4,"Jl. Veteran No.77, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164",wisata
Taman Sari Tourist Village,attractions,4.6,"Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133",wisata
Bentara Budaya Yogyakarta (BBY),attractions,4.6,"Jl. Suroto No.2, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",wisata
Museum Sonobudoyo Unit I,museums,4.8,"Jl. Pangurakan No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",wisata
Keraton Ngayogyakarta Hadiningrat,attractions,4.7,"Jl. Rotowijayan No.1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",wisata
Jogja Culture Show,attractions,5.0,"Jl. Tegalturi No.43, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163",wisata
Embung Giwangan Culture Park,taman hiburan,4.6,"Jl. Tegalturi No.43, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163",wisata
Museum Wahanarata,museums,4.7,"Jl. Rotowijayan, Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132",wisata
Taman Pintar Yogyakarta,museums,4.5,"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",wisata
Keraton Ratu Boko,attractions,4.7,"Jl. Ratu Boko No.2, Gatak, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",wisata
Prambanan Temple,attractions,4.7,"Jl. Raya Solo - Yogyakarta, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",wisata
Titik Nol Kilometer Yogyakarta,attractions,4.8,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",wisata
"Oud Kotagêdé , Tjepoeri - Ruïnes van het Koninklijke Fort Mataram",attractions,4.5,"599X+FHC, Jl. Masjid Besar, Purbayan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55192",wisata
Taman Budaya ꧋ꦠꦩꦤ꧀ꦧꦸꦣꦪ,attractions,4.7,"59X9+X2R, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122",wisata
Gereja Sayidan,attractions,4.3,"59W9+HWP, Prawirodirjan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55131",wisata
Ramayana Ballet Purawisata,attractions,4.6,"Jl. Brigjen Katamso Jl. Ireda, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55152",wisata
Tourism Village Pandeyan,attractions,4.7,"59PP+6F3, Jl. Pandeyan, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",wisata
Plengkung Gading,attractions,4.6,"Jl. Patehan Kidul No.4, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",wisata
Goa Cemara Beach,attractions,4.4,"Jl. Rajiman, Patihan, Gadingsari, Kec. Sanden, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55763",wisata
Kuwaru Beach,attractions,4.1,"Kawaru, Poncosari, Srandakan, Bantul Regency, Special Region of Yogyakarta 55762",wisata
Pantai Drini,attractions,4.6,"VH6G+RXH, Jl. Drini Tim., Wonosobo, Banjarejo, Kec. Tanjungsari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",wisata
Pantai Nguyahan,attractions,4.6,"Pantai ngobaran, Gebang, Kanigoro, Kec. Saptosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55871",wisata
Pantai baru,attractions,4.6,"Jl. Pantai Baru, Ngentak, Poncosari, Kec. Srandakan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55762",wisata
Kalasan Temple,attractions,4.6,"6FMC+3WW, Jl. Raya Yogya - Solo, Suryatmajan, Danurejan, Daerah Istimewa Yogyakarta",wisata
Sambisari Temple,attractions,4.6,"Jl. Candi Sambisari, Sambisari, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",wisata
Ijo Temple,attractions,4.8,"Jl. Candi Ijo, Kikis, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",wisata
Candi Donotirto,attractions,4.5,"6936+QFG, Jl. Jogonegaran, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",wisata
Sari Temple,attractions,4.5,"Jl. Candisari Jl. Raya Solo - Yogyakarta No.107, Bendan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",wisata
Perwara Temple,attractions,4.5,"Taman Wisata Candi Prambanan, Jl. Raya Solo - Yogyakarta No.KM.16, Kranggan, Bokoharjo, Kec. Prambanan, Yogyakarta, Jawa Tengah 57454",wisata
Gebang Temple,pura,4.5,"6CX8+CG7, Jl. Gebang Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",wisata
Sewu Temple,attractions,4.7,"Jl. Candi Sewu No.16, Bugisan, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 57454",wisata
Barong Temple,pura,4.6,"6FFW+PWM, Dusun Candisari, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",wisata
Kedulan Temple,attractions,4.6,"7F49+XVG, Kedulan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",wisata
Bubrah Temple,attractions,4.4,"7F3V+C5F, Taman Martani , Kalasan , Sleman , Daerah Istimewa Yogyakarta, Klurakbaru, Tlogo, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",wisata
"PT. Taman Wisata Candi Borobudur, Prambanan & Ratu Boko",attractions,4.8,"Jl. Raya Solo - Yogyakarta No.Km.16, Bogem, Tamanmartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",wisata
Banyunibo Temple,attractions,4.6,"Jl. Prambanan - Gayamharjo, Cepit, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",wisata
Shiva Temple,pura,4.5,"Taman Wisata Candi Prambanan, Jl. Candi Sewu, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",wisata
Pura Candi Sari Kalongan ꦦꦸꦫꦕꦤ꧀ꦝꦶꦱꦫꦶ,pura,4.8,"6C7G+V56, Kalongan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",wisata
